"","pcor","node1","node2","pval","qval","prob","fdr"
"83",0.00470397640834023,6,20,0.347292578292461,0.774498553944942,1.11022302462516e-16,0.878692065559237
"84",-0.00452653557362478,7,14,0.365782946578058,0.783428956959558,1.11022302462516e-16,0.908966170591966
"85",-0.00446635180262947,2,20,0.37219147628923,0.786361298132163,1.11022302462516e-16,0.908966170591966
"86",-0.00446586785383701,3,16,0.372243288909091,0.786384682393276,1.11022302462516e-16,0.908966170591966
"87",0.00436398262737828,4,13,0.383250721718824,0.791239168144578,1.11022302462516e-16,0.91719341225296
"88",-0.00432466584435985,3,17,0.387551180068383,0.793076339622633,1.11022302462516e-16,0.91719341225296
"89",0.00431406872848776,9,12,0.388715303288159,0.793568109215737,1.11022302462516e-16,0.91719341225296
"90",-0.00418076004647164,4,17,0.403540801004394,0.799632526438784,1.11022302462516e-16,0.917849879971184
"91",0.00417603260888894,12,15,0.404072690129335,0.799843483392167,1.11022302462516e-16,0.917849879971184
"92",0.00415637206518704,3,12,0.406289215865399,0.800717836222358,1.11022302462516e-16,0.917849879971184
"93",0.00415471490008769,13,18,0.40647637541581,0.800791315430704,1.11022302462516e-16,0.917849879971184
"94",0.00402109374408797,5,15,0.421736229524913,0.806605366544101,1.11022302462516e-16,0.933330760908758
"95",0.00399627685545096,3,13,0.424606920622767,0.807661388953389,1.11022302462516e-16,0.933330760908758
"96",-0.00397854101628676,15,19,0.426665490701146,0.80841158909933,1.11022302462516e-16,0.933330760908758
"97",0.00387845386705799,5,12,0.438391003928611,0.812575516946744,1.11022302462516e-16,0.945557318934849
"98",0.00384429527336148,12,20,0.442434792023713,0.813969873270146,1.11022302462516e-16,0.945557318934849
"99",-0.00381631731103444,5,7,0.445762736069286,0.815101928088674,1.11022302462516e-16,0.945557318934849
"100",-0.00375945629095349,2,17,0.452570038375494,0.81737515639212,1.11022302462516e-16,0.950397080588538
"101",-0.00371630885006715,7,8,0.457774524578867,0.819075787764864,1.11022302462516e-16,0.951808417441208
"102",0.00359854651906603,6,18,0.472148689624635,0.823612313298696,1.11022302462516e-16,0.97207083158013
"103",0.00351146444123464,3,10,0.482935928318867,0.826870127705361,1.11022302462516e-16,0.984626649970506
"104",-0.00346287890590003,14,16,0.489012115071454,0.828652736613268,1.11022302462516e-16,0.986087054025234
"105",0.00343082292493373,13,14,0.493043527012617,0.829815337223362,1.11022302462516e-16,0.986087054025234
"106",-0.00338364198317273,4,16,0.499009318522972,0.831507124713517,1.11022302462516e-16,0.988603366885132
"107",-0.00333237596721941,18,19,0.505534873255745,0.833319547140189,1.11022302462516e-16,0.992171246576696
"108",-0.00326075783762982,1,2,0.514725686871504,0.835807080046772,1.11022302462516e-16,1
"109",0.00320397446469149,3,6,0.522073976871517,0.837743143333502,1.11022302462516e-16,1
"110",0.00308147661352558,9,20,0.538107979230129,0.841813113787178,1.11022302462516e-16,1
"111",0.00307016154122902,5,13,0.539601405554951,0.842181825617676,1.11022302462516e-16,1
"112",-0.00306802835809573,1,12,0.539883187282749,0.842251202004753,1.11022302462516e-16,1
"113",-0.00300417627195817,15,16,0.548351637095006,0.844308095410137,1.11022302462516e-16,1
"114",-0.00294668756632336,5,14,0.556031848051431,0.846127693291854,1.11022302462516e-16,1
"115",0.00289442192311727,7,11,0.563059525005837,0.847755821967817,1.11022302462516e-16,1
"116",0.00289148090357287,1,13,0.563456246469125,0.847846705151017,1.11022302462516e-16,1
"117",0.00283910386353061,10,13,0.570543989544361,0.849452311939946,1.11022302462516e-16,1
"118",-0.00283578983537658,12,17,0.570993874015822,0.849553082614261,1.11022302462516e-16,1
"119",-0.00281363282698898,11,18,0.574006052907337,0.850224327685322,1.11022302462516e-16,1
"120",-0.00275223723942732,1,6,0.582391685308889,0.852061851827968,1.11022302462516e-16,1
"121",-0.0027232205420639,2,19,0.586374695242769,0.852918937242422,1.11022302462516e-16,1
"122",0.00271931041129895,12,16,0.586912387952982,0.8530338806088,1.11022302462516e-16,1
"123",-0.00268365546683766,2,15,0.591825898254273,0.854075986000429,1.11022302462516e-16,1
"124",-0.00258333372922284,3,8,0.605751264490145,0.856950701712981,1.11022302462516e-16,1
"125",0.00251453753549502,5,8,0.615384613193546,0.858873996407808,1.11022302462516e-16,1
"126",-0.0025089377530152,2,7,0.616171692137636,0.859028853587969,1.11022302462516e-16,1
"127",-0.00248980288689284,4,14,0.618864526142992,0.859556105854003,1.11022302462516e-16,1
"128",-0.00243525418021323,7,19,0.626569155739402,0.861043104279004,1.11022302462516e-16,1
"129",0.00241091410098067,4,7,0.63002028347251,0.861699011179548,1.11022302462516e-16,1
"130",0.00238300852085329,15,17,0.633986911072469,0.862445284601669,1.11022302462516e-16,1
"131",0.0023486016398257,1,10,0.638892167473511,0.863357085655024,1.11022302462516e-16,1
"132",-0.00230141831597366,2,10,0.645644644215182,0.864592658069445,1.11022302462516e-16,1
"133",-0.00219822013727365,1,16,0.660515070835734,0.867236408235347,1.11022302462516e-16,1
"134",-0.00209329393909236,7,13,0.67577315126036,0.86984387793911,1.11022302462516e-16,1
"135",-0.00200350410238899,10,14,0.688937042492608,0.872012540990679,1.11022302462516e-16,1
"136",0.00199268457871452,6,15,0.690529744344348,0.872270036978189,1.11022302462516e-16,1
